Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Input Voltage,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity
1642730751588,12.234375
1642730751581,,8.90625
1642730751573,,,4074.2841796875
1642730751485,,11.5,
1642730751478,,,4074.28515625
1642730751455,12.2421875,,
1642730751448,,8.6875,
1642730751440,,,4068.5703125
1642730751362,,8.59375,
1642730751337,,,4068.5703125
1642730751324,12.0390625,,
1642730751317,,10.65625,
1642730751310,,,4068.5703125
1642730751218,,7.4375,
1642730751211,,,4068.56982421875
1642730751200,12.0859375,,
1642730751192,,10.96875,
1642730751184,,,4068.56982421875
1642730751090,,10.21875,
1642730751082,,,4068.56982421875
1642730751071,12.2109375,,
1642730751063,,8.6875,
1642730751056,,,4068.5703125
1642730750966,,8.59375,
1642730750957,,,4068.56982421875
1642730750946,12.2421875,,
1642730750939,,8.53125,
1642730750931,,,4068.57080078125
1642730750840,,8.375,
1642730750832,,,4068.56982421875
1642730750821,12.2109375,,
1642730750814,,8.8125,
1642730750806,,,4074.28466796875
1642730750718,,9.25,
1642730750710,,,4074.28466796875
1642730750698,12.0625,,
1642730750691,,12.3125,
1642730750682,,,4074.28466796875
1642730750586,,10,
1642730750579,,,4074.28466796875
1642730750567,12.1640625,,
1642730750560,,8.6875,
1642730750553,,,4068.5703125
1642730750460,,8.4375,
1642730750453,,,4068.56982421875
1642730750441,12.1640625,,
1642730750434,,8.65625,
1642730750427,,,4068.57080078125
1642730750331,,8.1875,
1642730750323,,,4074.2841796875
1642730750312,12.1953125,,
1642730750305,,9.65625,
1642730750297,,,4074.28466796875
1642730750211,,8.65625,
1642730750203,,,4074.28466796875
1642730750188,12.21875,,
1642730750181,,9.40625,
1642730750174,,,4074.28466796875
1642730750095,,8.4375,
1642730750088,,,4068.57080078125
1642730750064,12.203125,,
1642730750057,,8.46875,
1642730750050,,,4068.5703125
1642730749973,,9.34375,
1642730749965,,,4068.56982421875
1642730749942,12.1953125,,
1642730749935,,8.3125,
1642730749927,,,4068.56982421875
1642730749831,,9.34375,
1642730749824,,,4062.8564453125
1642730749812,12.0390625,,
1642730749805,,12.1875,
1642730749797,,,4062.85595703125
1642730749705,,8.90625,
1642730749697,,,4062.85595703125
1642730749685,12.09375,,
1642730749678,,9.96875,
1642730749670,,,4062.85595703125
1642730749578,,11.03125,
1642730749570,,,4068.57080078125
1642730749559,12.15625,,
1642730749552,,8.78125,
1642730749544,,,4068.5703125
1642730749449,,10.25,
1642730749441,,,4074.28466796875
1642730749429,12.1796875,,
1642730749422,,7.25,
1642730749414,,,4074.28466796875
1642730749323,,8.0625,
1642730749316,,,4085.71337890625
1642730749304,12.078125,,
1642730749297,,10.53125,
1642730749289,,,4085.71337890625
1642730749197,,7.125,
1642730749189,,,4091.42822265625
1642730749178,12.1484375,,
1642730749171,,9.59375,
1642730749163,,,4097.142578125
1642730749069,,10.9375,
1642730749061,,,4102.8564453125
1642730749043,12.2265625,,
1642730749019,,7.09375,
1642730748988,,,4108.57177734375
1642730748882,,11.59375,
1642730748857,,,4114.28564453125
1642730748844,12.1796875,,
1642730748837,,8.6875,
1642730748830,,,4114.28515625
1642730748735,,9.1875,
1642730748727,,,4119.99951171875
1642730748716,12.203125,,
1642730748709,,8,
1642730748701,,,4120
1642730748610,,6.71875,
1642730748602,,,4131.42822265625
1642730748585,12.1328125,,
1642730748561,,9.5625,
1642730748533,,,4142.85791015625
1642730748439,,9.03125,
1642730748431,,,4154.28564453125
1642730748420,12.1875,,
1642730748413,,9.71875,
1642730748405,,,4154.28564453125
1642730748302,,8.375,
1642730748294,,,4171.42919921875
1642730748279,12.2265625,,
1642730748261,,8.6875,
1642730748232,,,4177.14306640625
1642730748140,,9.75,
1642730748133,,,4188.572265625
1642730748121,12.078125,,
1642730748114,,11.53125,
1642730748106,,,4194.28662109375
1642730748014,,12.875,
1642730748006,,,4205.71435546875
1642730747995,12.3359375,,
1642730747988,,7,
1642730747980,,,4211.4287109375
1642730747877,,7.4375,
1642730747870,,,4222.857421875
1642730747859,12.2109375,,
1642730747851,,9.53125,
1642730747841,,,4222.857421875
1642730747738,,9.09375,
1642730747730,,,4234.28662109375
1642730747718,12.0625,,
1642730747711,,12,
1642730747704,,,4240.00048828125
1642730747612,,12.5625,
1642730747604,,,4245.71435546875
1642730747593,12.1796875,,
1642730747586,,8.0625,
1642730747578,,,4251.42919921875
1642730747480,,8.03125,
1642730747473,,,4262.857421875
1642730747460,12.2578125,,
1642730747451,,8.03125,
1642730747433,,,4262.857421875
1642730747298,,9.4375,
1642730747291,,,4262.85791015625
1642730747279,12.046875,,
1642730747272,,12.09375,
1642730747265,,,4262.8583984375
1642730747166,,10.5,
1642730747158,,,4268.572265625
1642730747147,12.0234375,,
1642730747140,,13.4375,
1642730747133,,,4268.572265625
1642730747042,,11.34375,
1642730747035,,,4274.28662109375
1642730747024,12.125,,
1642730747016,,9.6875,
1642730747009,,,4274.28662109375
1642730746913,,8,
1642730746906,,,4268.572265625
1642730746894,12.078125,,
1642730746887,,10.09375,
1642730746879,,,4280.0009765625
1642730746789,,11.0625,
1642730746781,,,4280.00146484375
1642730746770,12.03125,,
1642730746763,,12.5,
1642730746755,,,4280.0009765625
1642730746663,,9.25,
1642730746655,,,4274.28662109375
1642730746643,12.109375,,
1642730746637,,9.65625,
1642730746629,,,4274.28662109375
1642730746533,,8.625,
1642730746525,,,4274.28662109375
1642730746514,12.140625,,
1642730746507,,10.15625,
1642730746499,,,4274.287109375
1642730746401,,8.875,
1642730746394,,,4274.28662109375
1642730746381,12.140625,,
1642730746374,,9.8125,
1642730746367,,,4274.2861328125
1642730746278,,9.90625,
1642730746270,,,4274.28662109375
1642730746259,12.15625,,
1642730746252,,9.09375,
